RegionA;RegionB;RegionC
32090206;320101;3201
32090212;320102;3201
32090214;320102;3201
32090217;320103;3201
32090222;320104;3201
32090252;320109;3201
32090254;320109;3201
32090271;320113;3201
32090276;320114;3201
32090279;320115;3201
32090281;320115;3201
32090282;320116;3201
32090284;320116;3201
32090285;320117;3201
32090286;320117;3201
32090289;320117;3201
32090290;320117;3201
32090301;320119;3201
32090305;320120;3201
32090306;320120;3201
32090317;320122;3201
32090320;320122;3201
32090327;320124;3201
32090335;320127;3201
32090336;320127;3201
32090343;320128;3201
32090344;320128;3201
32090345;320128;3201
32090346;320128;3201
32090347;320128;3201
32090348;320128;3201
32090355;320129;3201
32090367;320201;3202
32090379;320203;3202
32090385;320203;3202
32090388;320205;3202
32090389;320205;3202
32090393;320205;3202
32090395;320206;3202
32090400;320208;3202
32090401;320208;3202
32090402;320208;3202
32090404;320208;3202
32090406;320209;3202
32090407;320209;3202
32090408;320209;3202
32090410;320209;3202
32090412;320209;3202
32090422;320211;3202
32090424;320211;3202
32090428;320212;3202
32090432;320213;3202
32090435;320213;3202
32090442;320215;3202
32090443;320215;3202
32090444;320215;3202
32090445;320215;3202
32090446;320216;3202
32090451;320216;3202
32090453;320216;3202
32090454;320216;3202
32090458;320218;3202
32090459;320218;3202
32090460;320218;3202
32090461;320218;3202
32090463;320218;3202
32090465;320218;3202
32090467;320219;3202
32090468;320219;3202
32090469;320219;3202
32090471;320219;3202
32090473;320220;3202
32090474;320220;3202
32090476;320221;3202
32090478;320222;3202
32090480;320222;3202
32090481;320222;3202
32090483;320222;3202
32090486;320222;3202
32090487;320222;3202
32090488;320223;3202
32090489;320223;3202
32090493;320223;3202
32090495;320301;3203
32090501;320302;3203
32090502;320302;3203
32090506;320303;3203
32090507;320303;3203
32090515;320304;3203
32090523;320305;3203
32090525;320305;3203
32090526;320305;3203
32090532;320307;3203
32090534;320308;3203
32090539;320308;3203
32090540;320308;3203
32090542;320308;3203
32090543;320309;3203
32090559;320311;3203
32090566;320313;3203
32090574;320313;3203
32090575;320313;3203
32090576;320314;3203
32090579;320314;3203
32090593;320315;3203
32090599;320317;3203
32090606;320317;3203
32090609;320318;3203
32090611;320319;3203
32090623;320320;3203
32090645;320323;3203
32090648;320324;3203
32090650;320324;3203
32090652;320324;3203
32090653;320324;3203
32090654;320401;3204
32090655;320402;3204
32090659;320402;3204
32090661;320402;3204
32090662;320402;3204
32090673;320403;3204
32090678;320403;3204
32090684;320404;3204
32090691;320405;3204
32090697;320405;3204
32090699;320406;3204
32090700;320406;3204
32090706;320407;3204
32090729;320409;3204
32090740;320411;3204
32090745;320411;3204
32090746;320411;3204
32090749;320412;3204
32090751;320412;3204
32090760;320412;3204
32090761;320412;3204
32090767;320414;3204
32090772;320414;3204
32090774;320414;3204
32090781;320415;3204
32090782;320416;3204
32090784;320416;3204
32090797;320417;3204
32090800;320418;3204
32090802;320418;3204
32090807;320419;3204
32090820;320421;3204
32090822;320421;3204
32090826;320421;3204
32090837;320423;3204
32090843;320423;3204
32090844;320423;3204
32090850;320501;3205
32090858;320503;3205
32090861;320503;3205
32090863;320504;3205
32090866;320504;3205
32090873;320505;3205
32090884;320507;3205
32090887;320508;3205
32090889;320508;3205
32090894;320509;3205
32090896;320509;3205
32090897;320510;3205
32090899;320510;3205
32090900;320511;3205
32090904;320511;3205
32090918;320514;3205
32090921;320514;3205
32090923;320514;3205
32090935;320602;3206
32090949;320604;3206
32090964;320607;3206
32090970;320607;3206
32090979;320607;3206
32091043;320615;3206
32091044;320615;3206
32091046;320615;3206
32091048;320615;3206
32091053;320616;3206
32091064;320619;3206
32091067;320619;3206
32091077;320619;3206
32091093;320621;3206
32091095;320622;3206
32091098;320622;3206
32091106;320702;3207
32091107;320702;3207
32091110;320702;3207
32091111;320702;3207
32091112;320702;3207
32091113;320702;3207
32091114;320703;3207
32091121;320703;3207
32091126;320704;3207
32091129;320704;3207
32091132;320705;3207
32091166;320710;3207
32091169;320710;3207
32091171;320711;3207
32091172;320711;3207
32091175;320711;3207
32091186;320712;3207
32091188;320712;3207
32091209;320715;3207
32091210;320715;3207
32091219;320717;3207
32091238;320719;3207
32091239;320719;3207
32091244;320721;3207
32091245;320721;3207
32091247;320721;3207
32091251;320721;3207
32091256;320721;3207
32091257;320721;3207
32091259;320722;3207
32091263;320722;3207
32091266;320722;3207
32091271;320723;3207
32091276;320724;3207
32091278;320724;3207
32091289;320726;3207
32091292;320726;3207
32091294;320726;3207
32091312;320730;3207
32091315;320730;3207
32091322;320731;3207
32091325;320731;3207
32091326;320731;3207
32091331;320732;3207
32091332;320732;3207
32091333;320732;3207
32091334;320732;3207
32091336;320733;3207
32091338;320733;3207
32091340;320733;3207
32091341;320733;3207
32091343;320733;3207
32091368;320736;3207
32091377;320737;3207
32091415;320742;3207
32091417;320801;3208
32091418;320801;3208
32091425;320802;3208
32091426;320802;3208
32091427;320803;3208
32091428;320803;3208
32091431;320803;3208
32091432;320803;3208
32091433;320804;3208
32091434;320804;3208
32091437;320804;3208
32091440;320805;3208
32091441;320805;3208
32091444;320806;3208
32091448;320807;3208
32091452;320807;3208
32091453;320807;3208
32091458;320808;3208
32091459;320808;3208
32091460;320808;3208
32091471;320810;3208
32091477;320810;3208
32091479;320811;3208
32091481;320811;3208
32091486;320812;3208
32091495;320902;3209
32091498;320903;3209
32091499;320903;3209
32091504;320904;3209
32091509;320904;3209
32091524;320906;3209
32091536;320907;3209
32091541;320909;3209
32091552;320911;3209
32091554;320912;3209
32091556;320912;3209
32091579;320915;3209
32091583;320915;3209
32091585;320915;3209
32091586;320916;3209
32091587;320917;3209
32091591;320917;3209
32091592;320917;3209
32091598;320918;3209
32091602;320920;3209
32091623;320922;3209
32091634;320925;3209
32091637;321001;3210
32091638;321001;3210
32091639;321001;3210
32091643;321002;3210
32091649;321002;3210
32091651;321002;3210
32091656;321002;3210
32091659;321002;3210
32091662;321004;3210
32091663;321004;3210
32091664;321004;3210
32091665;321004;3210
32091668;321005;3210
32091677;321006;3210
32091681;321007;3210
32091682;321007;3210
32091683;321007;3210
32091687;321009;3210
32091688;321009;3210
32091690;321009;3210
32091692;321009;3210
32091699;321010;3210
32091704;321011;3210
32091706;321012;3210
32091708;321012;3210
32091714;321013;3210
32091716;321013;3210
32091717;321013;3210
32091722;321013;3210
32091724;321014;3210
32091746;321017;3210
32091747;321101;3211
32091750;321101;3211
32091758;321102;3211
32091759;321102;3211
32091762;321103;3211
32091765;321103;3211
32091767;321104;3211
32091773;321105;3211
32091803;321111;3211
32091815;321113;3211
32091836;321117;3211
32091838;321118;3211
32091845;321119;3211
32091846;321119;3211
32091851;321120;3211
32091854;321120;3211
32091855;321120;3211
32091857;321201;3212
32091886;321206;3212
32091916;321211;3212
32091953;321221;3212
32091956;321222;3212
32091957;321222;3212
32091959;321222;3212
32091962;321222;3212
32092021;321301;3213
32092022;321301;3213
32092025;321301;3213
32092028;321301;3213
32092030;321302;3213
32092037;321302;3213
32092061;321305;3213
32092075;321307;3213
32092084;321308;3213
32092092;321310;3213
32092098;321310;3213
32092117;321314;3213
32092122;321401;3214
32092126;321402;3214
32092132;321403;3214
32092138;321404;3214
32092151;321407;3214
32092164;321410;3214
32092165;321410;3214
32092166;321410;3214
32092168;321410;3214
32092170;321411;3214
32092179;321413;3214
32092181;321414;3214
32092182;321414;3214
32092211;321419;3214
32092225;321501;3215
32092227;321501;3215
32092233;321502;3215
32092236;321503;3215
32092237;321503;3215
32092238;321503;3215
32092240;321503;3215
32092242;321503;3215
32092245;321504;3215
32092247;321504;3215
32092252;321505;3215
32092254;321505;3215
32092257;321506;3215
32092258;321506;3215
32092259;321506;3215
32092260;321506;3215
32092268;321507;3215
32092269;321507;3215
32092271;321507;3215
32092272;321508;3215
32092275;321509;3215
32092276;321509;3215
32092294;321512;3215
32092301;321512;3215
32092303;321512;3215
32092305;321513;3215
32092307;321513;3215
32092308;321513;3215
32092309;321514;3215
32092310;321514;3215
32092312;321514;3215
32092318;321515;3215
32092323;321517;3215
32092325;321517;3215
32092330;321518;3215
32092331;321518;3215
32092336;321520;3215
32092337;321520;3215
32092338;321520;3215
32092339;321520;3215
32092344;321521;3215
32092351;321522;3215
32092355;321522;3215
32092358;321522;3215
32092360;321523;3215
32092361;321523;3215
32092362;321523;3215
32092363;321523;3215
32092364;321523;3215
32092365;321524;3215
32092368;321525;3215
32092369;321525;3215
32092370;321525;3215
32092371;321525;3215
32092376;321525;3215
32092378;321525;3215
32092381;321525;3215
32092382;321525;3215
32092383;321526;3215
32092384;321526;3215
32092389;321527;3215
32092390;321527;3215
32092393;321527;3215
32092395;321528;3215
32092400;321529;3215
32092401;321529;3215
32092403;321529;3215
32092404;321530;3215
32092405;321530;3215
32092408;321530;3215
32092411;321531;3215
32092413;321531;3215
32092416;321531;3215
32092424;321532;3215
32092428;321534;3215
32092432;321534;3215
32092433;321535;3215
32092434;321535;3215
32092449;321603;3216
32092450;321603;3216
32092521;321616;3216
32092523;321616;3216
32092526;321616;3216
32092528;321616;3216
32092529;321616;3216
32092547;320311;3203
