RecordNo,Index,TopofMind,Unaided,Aided,TotalAwarness,Wykształcenie,Funkcja
1136,1,Gruszki,Gruszki,Jabłka,Gruszki,Średnie techniczne,Właściciel
1143,1,Maliny,Maliny,Śliwki,Maliny,Średnie ogólne,Główny agronom
1145,1,Jabłka,Jabłka,Jabłka,Jabłka,Wyższe,Właściciel
1151,1,NA,NA,Jabłka,NA,Średnie ogólne,Dyrektor / wicedyrektor
1154,1,Jabłka,Jabłka,NA,Jabłka,Średnie techniczne,Agronom – ekspert
1167,1,Maliny,Maliny,Jabłka,Maliny,Średnie techniczne,Główny agronom
1191,1,NA,NA,Jabłka,NA,Wyższe,Dyrektor / wicedyrektor
1203,1,Maliny,Maliny,Śliwki,Maliny,Średnie techniczne,Agronom – ekspert
1218,1,NA,NA,Jabłka,NA,Średnie ogólne,Główny agronom
1221,1,NA,NA,Jabłka,NA,Średnie techniczne,Agronom – ekspert
1233,1,NA,NA,Truskawki,NA,Średnie techniczne,Właściciel
1234,1,Maliny,Maliny,Truskawki,Maliny,Wyższe,Główny agronom
1236,1,NA,NA,Jabłka,NA,Średnie ogólne,Właściciel
1256,1,Maliny,Maliny,Śliwki,Maliny,Średnie ogólne,Dyrektor / wicedyrektor
1261,1,NA,NA,Jabłka,NA,Średnie techniczne,Właściciel
1271,1,NA,NA,Śliwki,NA,Średnie ogólne,???
1272,1,Maliny,Maliny,Truskawki,Maliny,Wyższe,Agronom – ekspert
1286,1,NA,NA,Śliwki,NA,Średnie ogólne,Główny agronom
1292,1,Borówki,Borówki,Jabłka,Borówki,Średnie techniczne,Właściciel
1293,1,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,1,Maliny,Maliny,Jabłka,Maliny,Średnie ogólne,Główny agronom
1295,1,Jabłka,Jabłka,Jabłka,Jabłka,Średnie ogólne,Właściciel
1319,1,NA,NA,Truskawki,NA,Średnie ogólne,Agronom – ekspert
1322,1,NA,NA,Jabłka,NA,Średnie techniczne,Właściciel
