RecordNo,Województwo,Area,Company,Recommendation,Score,Wiek,Wykształcenie,Funkcja,detrac,neutral,promotor,total
1136,dolnośląskie,100-250 Ha,Jablka,4,Detractor,30-39,Średnie techniczne,Właściciel,1,0,0,1
1136,dolnośląskie,100-250 Ha,Truskawki,10,Promotor,30-39,Średnie techniczne,Właściciel,0,0,1,1
1136,dolnośląskie,100-250 Ha,Sliwki,1,Detractor,30-39,Średnie techniczne,Właściciel,1,0,0,1
1136,dolnośląskie,100-250 Ha,Gruszki,NA,NA,30-39,Średnie techniczne,Właściciel,NA,NA,NA,1
1136,dolnośląskie,100-250 Ha,Wisnie,2,Detractor,30-39,Średnie techniczne,Właściciel,1,0,0,1
1136,dolnośląskie,100-250 Ha,Borowki,NA,NA,30-39,Średnie techniczne,Właściciel,NA,NA,NA,1
1136,dolnośląskie,100-250 Ha,Porzeczki,8,Neutral,30-39,Średnie techniczne,Właściciel,0,1,0,1
1136,dolnośląskie,100-250 Ha,Maliny,NA,NA,30-39,Średnie techniczne,Właściciel,NA,NA,NA,1
1136,dolnośląskie,100-250 Ha,Aronia,8,Neutral,30-39,Średnie techniczne,Właściciel,0,1,0,1
1136,dolnośląskie,100-250 Ha,Jagody,NA,NA,30-39,Średnie techniczne,Właściciel,NA,NA,NA,1
1143,dolnośląskie,100-250 Ha,Jablka,6,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1143,dolnośląskie,100-250 Ha,Truskawki,5,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1143,dolnośląskie,100-250 Ha,Sliwki,9,Promotor,30-39,Średnie ogólne,Główny agronom,0,0,1,1
1143,dolnośląskie,100-250 Ha,Gruszki,5,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1143,dolnośląskie,100-250 Ha,Wisnie,8,Neutral,30-39,Średnie ogólne,Główny agronom,0,1,0,1
1143,dolnośląskie,100-250 Ha,Borowki,4,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1143,dolnośląskie,100-250 Ha,Porzeczki,9,Promotor,30-39,Średnie ogólne,Główny agronom,0,0,1,1
1143,dolnośląskie,100-250 Ha,Maliny,1,Detractor,30-39,Średnie ogólne,Główny agronom,1,0,0,1
1143,dolnośląskie,100-250 Ha,Aronia,9,Promotor,30-39,Średnie ogólne,Główny agronom,0,0,1,1
1143,dolnośląskie,100-250 Ha,Jagody,7,Neutral,30-39,Średnie ogólne,Główny agronom,0,1,0,1
1145,dolnośląskie,50-100 Ha,Jablka,10,Promotor,40-49,Wyższe,Właściciel,0,0,1,1
1145,dolnośląskie,50-100 Ha,Truskawki,8,Neutral,40-49,Wyższe,Właściciel,0,1,0,1
1145,dolnośląskie,50-100 Ha,Sliwki,5,Detractor,40-49,Wyższe,Właściciel,1,0,0,1
1145,dolnośląskie,50-100 Ha,Gruszki,9,Promotor,40-49,Wyższe,Właściciel,0,0,1,1
1145,dolnośląskie,50-100 Ha,Wisnie,2,Detractor,40-49,Wyższe,Właściciel,1,0,0,1
1145,dolnośląskie,50-100 Ha,Borowki,9,Promotor,40-49,Wyższe,Właściciel,0,0,1,1
1145,dolnośląskie,50-100 Ha,Porzeczki,4,Detractor,40-49,Wyższe,Właściciel,1,0,0,1
1145,dolnośląskie,50-100 Ha,Maliny,10,Promotor,40-49,Wyższe,Właściciel,0,0,1,1
1145,dolnośląskie,50-100 Ha,Aronia,9,Promotor,40-49,Wyższe,Właściciel,0,0,1,1
1145,dolnośląskie,50-100 Ha,Jagody,9,Promotor,40-49,Wyższe,Właściciel,0,0,1,1
1151,dolnośląskie,100-250 Ha,Jablka,6,Detractor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1151,dolnośląskie,100-250 Ha,Truskawki,9,Promotor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,0,0,1,1
1151,dolnośląskie,100-250 Ha,Sliwki,4,Detractor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1151,dolnośląskie,100-250 Ha,Gruszki,4,Detractor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
1151,dolnośląskie,100-250 Ha,Wisnie,4,Detractor,40-49,Średnie ogólne,Dyrektor / wicedyrektor,1,0,0,1
